Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Impuesto;Valor m2;Tipo Agrupado
Casa;Lince;1;1;0;61;830.0;;;13.61;Casa
Casa;San Luis;3;5;1;150;2500.0;;1200.0;16.67;Casa
Casa;Cieneguilla;1;0;0;50;600.0;;;12.0;Casa
Casa;La Punta;5;3;1;300;3000.0;;290.0;10.0;Casa
Casa;Santa Anita;4;1;0;180;2500.0;;80.0;13.89;Casa
Casa;El Agustino;2;1;1;60;1150.0;;;19.17;Casa
Casa;Santa Rosa;2;1;0;45;700.0;;;15.56;Casa
Casa;Callao;4;2;3;169;3100.0;600.0;225.0;18.34;Casa
Casa;Lince;2;0;0;116;1100.0;;;9.48;Casa
Casa;Pachacámac;2;0;0;207;4000.0;;;19.32;Casa
Casa;Lince;3;0;1;140;1500.0;;;10.71;Casa
Casa;San Luis;3;3;0;280;4000.0;;1200.0;14.29;Casa
Casa;Ate;6;0;5;800;18000.0;825.0;1786.0;22.5;Casa
Casa;Magdalena del Mar;1;0;0;44;700.0;;;15.91;Casa
Casa;La Punta;3;1;0;75;2950.0;;;39.33;Casa
Casa;Pueblo Libre;3;3;1;250;8600.0;1900.0;580.0;34.4;Casa
Casa;Santa Rosa;1;0;0;40;450.0;;;11.25;Casa
Casa;San Luis;4;2;1;240;6500.0;;700.0;27.08;Casa
Casa;Lince;2;1;2;86;1500.0;;;17.44;Casa
Casa;Mi Perú;2;1;0;80;1500.0;;;18.75;Casa
Casa;Lince;1;0;0;50;600.0;;;12.0;Casa
Casa;Jesús María;4;2;2;352;6500.0;;;18.47;Casa
Casa;Carabayllo;2;1;0;60;1400.0;;;23.33;Casa
Casa;Pachacámac;5;0;1;160;5000.0;;80.0;31.25;Casa
Casa comercial;Chorrillos;0;0;0;140;7000.0;;137.0;50.0;Departamento
Casa comercial;Chorrillos;0;0;0;220;16000.0;;;72.73;Departamento
Casa comercial;La Punta;0;0;0;139;16740.0;1953.0;139.0;120.43;Departamento
Casa comercial;Chorrillos;3;0;0;280;13000.0;450.0;1387.0;46.43;Departamento
Casa comercial;Santa Rosa;0;1;0;100;2000.0;;;20.0;Departamento
Casa comercial;San Borja;12;0;12;360;17000.0;;1150.0;47.22;Departamento
Casa comercial;Lurigancho;0;0;0;80;6000.0;;1000.0;75.0;Departamento
Casa comercial;El Agustino;0;0;0;120;2400.0;;;20.0;Departamento
Casa comercial;Pachacámac;0;2;0;258;14000.0;4900.0;1000.0;54.26;Departamento
Casa comercial;Chaclacayo;0;2;0;180;4500.0;;;25.0;Departamento
Casa comercial;Magdalena del Mar;0;0;0;1200;10000.0;;;8.33;Departamento
Casa comercial;Chorrillos;0;6;0;261;18000.0;;;68.97;Departamento
Casa comercial;San Borja;0;0;0;45;18000.0;550.0;390.0;400.0;Departamento
Casa comercial;Santa Rosa;0;0;0;148;3500.0;260.0;;23.65;Departamento
Casa comercial;Pachacámac;0;0;0;150;11000.0;;864.0;73.33;Departamento
Casa comercial;Pueblo Libre;4;0;0;241;14000.0;;2195.0;58.09;Departamento
Casa comercial;Jesús María;0;1;0;38;2000.0;500.0;;52.63;Departamento
Casa comercial;San Luis;0;0;0;124;4000.0;;2700.0;32.26;Departamento
Casa comercial;Comas;0;1;0;200;18000.0;5500.0;1550.0;90.0;Departamento
Casa comercial;Breña;0;1;0;262;10000.0;;467.0;38.17;Departamento
Casa comercial;Santa Anita;0;0;0;271;8000.0;;724.0;29.52;Departamento
Casa comercial;Chorrillos;4;0;0;161;8500.0;;523.0;52.8;Departamento
Casa comercial;Chorrillos;0;0;0;270;7000.0;;800.0;25.93;Departamento
Casa comercial;Chorrillos;6;0;0;322;12000.0;;252.0;37.27;Departamento
Casa comercial;San Luis;0;0;0;350;8000.0;;670.0;22.86;Departamento
Casa comercial;Ate;0;4;0;360;8500.0;;160.0;23.61;Departamento
Casa comercial;Lurigancho;0;0;0;121;8000.0;;1429.0;66.12;Departamento
